State,Year,Quater,District,reg_user,app_opens
"spsr nellore district",2018,4,"spsr nellore district",407495,0
"vizianagaram district",2018,4,"vizianagaram district",257824,0
"ysr district",2018,4,"ysr district",387058,0
"west godavari district",2018,4,"west godavari district",435668,0
"chittoor district",2018,4,"chittoor district",665280,0
"east godavari district",2019,1,"east godavari district",839277,0
"srikakulam district",2019,1,"srikakulam district",345775,0
"visakhapatnam district",2019,1,"visakhapatnam district",1174517,0
"prakasam district",2019,1,"prakasam district",474260,0
"anantapur district",2019,1,"anantapur district",612162,0
"kurnool district",2019,1,"kurnool district",599422,0
"guntur district",2019,1,"guntur district",802394,0
"krishna district",2019,1,"krishna district",833694,0
"spsr nellore district",2019,1,"spsr nellore district",491908,0
"vizianagaram district",2019,1,"vizianagaram district",313334,0
"ysr district",2019,1,"ysr district",460590,0
"west godavari district",2019,1,"west godavari district",523372,0
"chittoor district",2019,1,"chittoor district",812314,0
"east godavari district",2019,2,"east godavari district",945181,7156762
"srikakulam district",2019,2,"srikakulam district",392764,3230330
"visakhapatnam district",2019,2,"visakhapatnam district",1318740,13681907
"prakasam district",2019,2,"prakasam district",539462,4488365
"anantapur district",2019,2,"anantapur district",695114,6056591
"kurnool district",2019,2,"kurnool district",680118,6240480
"guntur district",2019,2,"guntur district",915256,7268875
"krishna district",2019,2,"krishna district",952300,7822632
"spsr nellore district",2019,2,"spsr nellore district",558303,4774473
"vizianagaram district",2019,2,"vizianagaram district",355058,3541678
"ysr district",2019,2,"ysr district",519031,4345848
"west godavari district",2019,2,"west godavari district",592185,3853094
"chittoor district",2019,2,"chittoor district",925491,8914216
"east godavari district",2019,3,"east godavari district",1057167,28275322
"srikakulam district",2019,3,"srikakulam district",437939,11813195
"visakhapatnam district",2019,3,"visakhapatnam district",1460464,54836001
"prakasam district",2019,3,"prakasam district",598568,16267041
"anantapur district",2019,3,"anantapur district",773656,22845084
"kurnool district",2019,3,"kurnool district",755024,22827473
"guntur district",2019,3,"guntur district",1026418,28477132
"krishna district",2019,3,"krishna district",1066546,30077671
"spsr nellore district",2019,3,"spsr nellore district",619592,17768733
"vizianagaram district",2019,3,"vizianagaram district",394375,13065845
"ysr district",2019,3,"ysr district",574109,15833900
"west godavari district",2019,3,"west godavari district",662102,14227407
"chittoor district",2019,3,"chittoor district",1032733,34638738
"east godavari district",2019,4,"east godavari district",1195228,38299189
"srikakulam district",2019,4,"srikakulam district",496266,16353822
"visakhapatnam district",2019,4,"visakhapatnam district",1620235,70749983
"prakasam district",2019,4,"prakasam district",673522,21639748
"anantapur district",2019,4,"anantapur district",873033,30278539
"kurnool district",2019,4,"kurnool district",846885,29676997
"guntur district",2019,4,"guntur district",1158708,37846179
"krishna district",2019,4,"krishna district",1199971,39407473
"spsr nellore district",2019,4,"spsr nellore district",697154,23608360
"vizianagaram district",2019,4,"vizianagaram district",443810,17515311
"ysr district",2019,4,"ysr district",646642,21543798
"west godavari district",2019,4,"west godavari district",750078,19393528
"chittoor district",2019,4,"chittoor district",1156351,44888591
"east godavari district",2020,1,"east godavari district",1329664,46142746
"srikakulam district",2020,1,"srikakulam district",552007,20975989
"visakhapatnam district",2020,1,"visakhapatnam district",1763581,77558624
"prakasam district",2020,1,"prakasam district",748655,26870693
"anantapur district",2020,1,"anantapur district",971850,36900103
"kurnool district",2020,1,"kurnool district",936293,34198350
"guntur district",2020,1,"guntur district",1289678,45282758
"krishna district",2020,1,"krishna district",1331602,46079408
"spsr nellore district",2020,1,"spsr nellore district",775440,28879364
"vizianagaram district",2020,1,"vizianagaram district",490683,21562104
"ysr district",2020,1,"ysr district",717865,26166193
"west godavari district",2020,1,"west godavari district",843835,24542868
"chittoor district",2020,1,"chittoor district",1270907,51354573
"east godavari district",2020,2,"east godavari district",1459116,45884498
"srikakulam district",2020,2,"srikakulam district",608002,23808009
"visakhapatnam district",2020,2,"visakhapatnam district",1904719,69684456
"prakasam district",2020,2,"prakasam district",830709,32255276
"anantapur district",2020,2,"anantapur district",1076953,39704703
"kurnool district",2020,2,"kurnool district",1035093,36268390
"guntur district",2020,2,"guntur district",1426271,44267596
"krishna district",2020,2,"krishna district",1459041,41234166
"spsr nellore district",2020,2,"spsr nellore district",854459,30816403
"vizianagaram district",2020,2,"vizianagaram district",537798,24370380
"ysr district",2020,2,"ysr district",796769,29644037
"west godavari district",2020,2,"west godavari district",944829,26583613
"chittoor district",2020,2,"chittoor district",1385916,49820171
"east godavari district",2020,3,"east godavari district",1601940,64292857
"srikakulam district",2020,3,"srikakulam district",667858,31794753
"visakhapatnam district",2020,3,"visakhapatnam district",2058346,102589371
"prakasam district",2020,3,"prakasam district",915240,44970519
"anantapur district",2020,3,"anantapur district",1186851,55714787
"kurnool district",2020,3,"kurnool district",1132240,49164718
"guntur district",2020,3,"guntur district",1567595,62427501
"krishna district",2020,3,"krishna district",1599289,61028114
"spsr nellore district",2020,3,"spsr nellore district",937176,43951448
"vizianagaram district",2020,3,"vizianagaram district",587784,31199437
"ysr district",2020,3,"ysr district",877909,41578067
"west godavari district",2020,3,"west godavari district",1053674,38126238
"chittoor district",2020,3,"chittoor district",1506503,69462572
"east godavari district",2020,4,"east godavari district",1746280,82605352
"srikakulam district",2020,4,"srikakulam district",726761,36770992
"visakhapatnam district",2020,4,"visakhapatnam district",2209658,124730170
"prakasam district",2020,4,"prakasam district",999462,52839846
"anantapur district",2020,4,"anantapur district",1295872,69562398
"kurnool district",2020,4,"kurnool district",1230466,60615045
"guntur district",2020,4,"guntur district",1712940,81291172
"krishna district",2020,4,"krishna district",1744028,81787771
"spsr nellore district",2020,4,"spsr nellore district",1022944,54765443
"vizianagaram district",2020,4,"vizianagaram district",634462,35110885
"ysr district",2020,4,"ysr district",959182,49596303
"west godavari district",2020,4,"west godavari district",1163179,51170162
"chittoor district",2020,4,"chittoor district",1631331,88232999
"east godavari district",2021,1,"east godavari district",1878769,91478749
"srikakulam district",2021,1,"srikakulam district",782604,40590058
"visakhapatnam district",2021,1,"visakhapatnam district",2368081,135908324
"prakasam district",2021,1,"prakasam district",1075936,56911479
"anantapur district",2021,1,"anantapur district",1394849,73375049
"kurnool district",2021,1,"kurnool district",1323411,65326230
"guntur district",2021,1,"guntur district",1843237,92731167
"krishna district",2021,1,"krishna district",1876458,92941553
"spsr nellore district",2021,1,"spsr nellore district",1100541,60691988
"vizianagaram district",2021,1,"vizianagaram district",681621,37752539
"ysr district",2021,1,"ysr district",1032689,53525815
"west godavari district",2021,1,"west godavari district",1254117,57392671
"chittoor district",2021,1,"chittoor district",1751420,99083825
"east godavari district",2021,2,"east godavari district",2006272,84705076
"srikakulam district",2021,2,"srikakulam district",837958,43740255
"visakhapatnam district",2021,2,"visakhapatnam district",2526830,114313154
"prakasam district",2021,2,"prakasam district",1151232,76850749
"anantapur district",2021,2,"anantapur district",1492738,104568606
"kurnool district",2021,2,"kurnool district",1415585,81894678
"guntur district",2021,2,"guntur district",1968681,88248064
"krishna district",2021,2,"krishna district",2002662,85771678
"spsr nellore district",2021,2,"spsr nellore district",1176334,74049216
"vizianagaram district",2021,2,"vizianagaram district",729509,42684475
"ysr district",2021,2,"ysr district",1103004,72255265
"west godavari district",2021,2,"west godavari district",1339377,65118788
"chittoor district",2021,2,"chittoor district",1870723,110505432
"east godavari district",2021,3,"east godavari district",2150622,103626560
"srikakulam district",2021,3,"srikakulam district",902008,48622126
"visakhapatnam district",2021,3,"visakhapatnam district",2707931,139540800
"prakasam district",2021,3,"prakasam district",1239147,91533813
"anantapur district",2021,3,"anantapur district",1606735,124985545
"kurnool district",2021,3,"kurnool district",1522196,101210508
"guntur district",2021,3,"guntur district",2110878,106621413
"krishna district",2021,3,"krishna district",2145423,104358295
