State,Year,Quater,District,reg_user,app_opens
"datia district",2021,4,"datia district",133518,5903288
"dewas district",2021,4,"dewas district",445758,27784624
"sheopur district",2021,4,"sheopur district",93888,4425363
"neemuch district",2021,4,"neemuch district",224442,11233575
"raisen district",2021,4,"raisen district",340113,19857437
"mandsaur district",2021,4,"mandsaur district",352936,17894151
"barwani district",2021,4,"barwani district",172064,10424021
"katni district",2021,4,"katni district",244085,11313356
"dindori district",2021,4,"dindori district",83183,4058308
"shivpuri district",2021,4,"shivpuri district",279745,15194316
"gwalior district",2021,4,"gwalior district",866561,37156850
"anuppur district",2021,4,"anuppur district",140817,7245537
"agar malwa district",2021,4,"agar malwa district",116711,7478552
"ashoknagar district",2021,4,"ashoknagar district",138555,7568285
"sagar district",2021,4,"sagar district",538447,23166608
"niwari district",2021,4,"niwari district",60568,2702448
"rewa district",2021,4,"rewa district",500513,22443034
"shajapur district",2021,4,"shajapur district",236918,14506010
"ujjain district",2021,4,"ujjain district",639197,33583390
"bhind district",2021,4,"bhind district",304654,12277081
"tikamgarh district",2021,4,"tikamgarh district",153468,7302744
"seoni district",2021,4,"seoni district",254057,13780511
"harda district",2021,4,"harda district",124528,6342732
"burhanpur district",2021,4,"burhanpur district",143490,7214848
"damoh district",2021,4,"damoh district",188719,7734176
"bhopal district",2021,4,"bhopal district",1633266,93931993
"jhabua district",2021,4,"jhabua district",123245,6502753
"dhar district",2021,4,"dhar district",519970,32607060
"guna district",2021,4,"guna district",321685,16280589
"east nimar district",2021,4,"east nimar district",247780,13878939
"chhindwara district",2021,4,"chhindwara district",495990,25711745
"umaria district",2021,4,"umaria district",96803,4944557
"mandla district",2021,4,"mandla district",155589,7086912
"indore district",2021,4,"indore district",2164101,120836112
"shahdol district",2021,4,"shahdol district",206601,11162981
"ratlam district",2021,4,"ratlam district",387771,18837420
"panna district",2021,4,"panna district",125727,6055168
"chhatarpur district",2021,4,"chhatarpur district",319122,12573269
"morena district",2022,1,"morena district",388876,21768637
"alirajpur district",2022,1,"alirajpur district",61920,11727737
"sehore district",2022,1,"sehore district",430004,49205647
"rajgarh district",2022,1,"rajgarh district",367926,62421064
"khargone district",2022,1,"khargone district",376319,48347724
"satna district",2022,1,"satna district",488378,33592833
"narsinghpur district",2022,1,"narsinghpur district",282944,25561900
"jabalpur district",2022,1,"jabalpur district",844191,24394123
"hoshangabad district",2022,1,"hoshangabad district",366938,29354309
"vidisha district",2022,1,"vidisha district",367348,46490241
"balaghat district",2022,1,"balaghat district",370280,39414533
"singrauli district",2022,1,"singrauli district",295276,40994249
"betul district",2022,1,"betul district",377802,49890477
"sidhi district",2022,1,"sidhi district",185333,24215691
"datia district",2022,1,"datia district",142528,13244758
"dewas district",2022,1,"dewas district",474588,48508371
"sheopur district",2022,1,"sheopur district",100534,15536400
"neemuch district",2022,1,"neemuch district",239780,21877459
"raisen district",2022,1,"raisen district",362669,49467462
"mandsaur district",2022,1,"mandsaur district",377419,36819711
"barwani district",2022,1,"barwani district",183591,32086865
"katni district",2022,1,"katni district",260231,20065734
"dindori district",2022,1,"dindori district",89318,22224905
"shivpuri district",2022,1,"shivpuri district",299591,47644691
"gwalior district",2022,1,"gwalior district",919789,21816530
"anuppur district",2022,1,"anuppur district",150308,19714961
"agar malwa district",2022,1,"agar malwa district",125155,22711095
"ashoknagar district",2022,1,"ashoknagar district",148280,26154858
"sagar district",2022,1,"sagar district",573791,48260052
"niwari district",2022,1,"niwari district",64887,6027694
"rewa district",2022,1,"rewa district",533627,33192405
"shajapur district",2022,1,"shajapur district",253170,28919127
"ujjain district",2022,1,"ujjain district",680599,45055866
"bhind district",2022,1,"bhind district",325633,20919839
"tikamgarh district",2022,1,"tikamgarh district",164789,19731880
"seoni district",2022,1,"seoni district",271212,49526971
"harda district",2022,1,"harda district",132707,15830168
"burhanpur district",2022,1,"burhanpur district",152924,15045980
"damoh district",2022,1,"damoh district",201320,24840452
"bhopal district",2022,1,"bhopal district",1729248,31263898
"jhabua district",2022,1,"jhabua district",132178,21880765
"dhar district",2022,1,"dhar district",554545,57969630
"guna district",2022,1,"guna district",343862,38333265
"east nimar district",2022,1,"east nimar district",264991,37995487
"chhindwara district",2022,1,"chhindwara district",528140,65934049
"umaria district",2022,1,"umaria district",103376,18472993
"mandla district",2022,1,"mandla district",166586,27363618
"indore district",2022,1,"indore district",2291709,46090777
"shahdol district",2022,1,"shahdol district",220235,28376385
"ratlam district",2022,1,"ratlam district",413474,36019214
"panna district",2022,1,"panna district",134571,23797099
"chhatarpur district",2022,1,"chhatarpur district",341257,32165896
"morena district",2022,2,"morena district",412027,25371349
"alirajpur district",2022,2,"alirajpur district",65571,15300969
"sehore district",2022,2,"sehore district",454731,54822706
"rajgarh district",2022,2,"rajgarh district",390496,68113161
"khargone district",2022,2,"khargone district",397821,59733754
"satna district",2022,2,"satna district",516107,37628973
"narsinghpur district",2022,2,"narsinghpur district",298700,26169243
"jabalpur district",2022,2,"jabalpur district",889518,27216327
"hoshangabad district",2022,2,"hoshangabad district",387536,37197974
"vidisha district",2022,2,"vidisha district",388442,53026458
"balaghat district",2022,2,"balaghat district",391383,45171692
"singrauli district",2022,2,"singrauli district",312534,45373259
"betul district",2022,2,"betul district",399176,58096392
"sidhi district",2022,2,"sidhi district",196329,28025577
"datia district",2022,2,"datia district",150774,15523129
"dewas district",2022,2,"dewas district",501534,54677620
"sheopur district",2022,2,"sheopur district",106402,16991479
"neemuch district",2022,2,"neemuch district",253877,24434188
"raisen district",2022,2,"raisen district",383364,57331676
"mandsaur district",2022,2,"mandsaur district",400096,40440643
"barwani district",2022,2,"barwani district",194224,39803106
"katni district",2022,2,"katni district",274971,22526876
"dindori district",2022,2,"dindori district",94425,25676977
"shivpuri district",2022,2,"shivpuri district",317649,53953678
"gwalior district",2022,2,"gwalior district",970340,24362874
"anuppur district",2022,2,"anuppur district",159037,21223816
"agar malwa district",2022,2,"agar malwa district",132817,24914518
"ashoknagar district",2022,2,"ashoknagar district",156794,26980521
"sagar district",2022,2,"sagar district",605733,54155963
"niwari district",2022,2,"niwari district",68906,6303748
"rewa district",2022,2,"rewa district",564327,38642979
"shajapur district",2022,2,"shajapur district",268228,30252112
"ujjain district",2022,2,"ujjain district",719339,48193387
"bhind district",2022,2,"bhind district",345153,26268517
"tikamgarh district",2022,2,"tikamgarh district",174899,21087772
"seoni district",2022,2,"seoni district",286648,56031826
"harda district",2022,2,"harda district",140211,20398665
"burhanpur district",2022,2,"burhanpur district",161559,19056842
"damoh district",2022,2,"damoh district",212717,28176780
"bhopal district",2022,2,"bhopal district",1820625,31358426
"jhabua district",2022,2,"jhabua district",140021,27315519
"dhar district",2022,2,"dhar district",586670,68292994
"guna district",2022,2,"guna district",364137,44106363
"east nimar district",2022,2,"east nimar district",280660,44637219
"chhindwara district",2022,2,"chhindwara district",557958,74250829
"umaria district",2022,2,"umaria district",109416,20271349
"mandla district",2022,2,"mandla district",176186,33770089
"indore district",2022,2,"indore district",2412576,45049827
"shahdol district",2022,2,"shahdol district",232570,31344146
"ratlam district",2022,2,"ratlam district",437346,37515472
"panna district",2022,2,"panna district",142521,29004914
"chhatarpur district",2022,2,"chhatarpur district",361336,37291459
"morena district",2022,3,"morena district",435365,29225681
"alirajpur district",2022,3,"alirajpur district",69009,16877220
"sehore district",2022,3,"sehore district",479372,53923607
"rajgarh district",2022,3,"rajgarh district",412875,71480112
"khargone district",2022,3,"khargone district",419471,71179836
"satna district",2022,3,"satna district",544011,38676527
"narsinghpur district",2022,3,"narsinghpur district",314303,26656335
"jabalpur district",2022,3,"jabalpur district",935649,27371579
"hoshangabad district",2022,3,"hoshangabad district",408032,33285369
"vidisha district",2022,3,"vidisha district",409741,52919367
"balaghat district",2022,3,"balaghat district",412637,45695665
"singrauli district",2022,3,"singrauli district",329936,48468832
"betul district",2022,3,"betul district",420313,58352021
"sidhi district",2022,3,"sidhi district",206995,31410932
"datia district",2022,3,"datia district",158829,17977792
"dewas district",2022,3,"dewas district",528609,58429919
"sheopur district",2022,3,"sheopur district",112197,21431237
"neemuch district",2022,3,"neemuch district",268121,29133456
"raisen district",2022,3,"raisen district",404002,59864493
"mandsaur district",2022,3,"mandsaur district",422561,47666481
"barwani district",2022,3,"barwani district",204774,48429855
"katni district",2022,3,"katni district",289612,23958915
"dindori district",2022,3,"dindori district",99562,24648232
"shivpuri district",2022,3,"shivpuri district",335634,61750862
"gwalior district",2022,3,"gwalior district",1022539,28192045
"anuppur district",2022,3,"anuppur district",167443,20720517
"agar malwa district",2022,3,"agar malwa district",140546,28616132
"ashoknagar district",2022,3,"ashoknagar district",165136,30387274
"sagar district",2022,3,"sagar district",638100,56677931
"niwari district",2022,3,"niwari district",72766,8289995
"rewa district",2022,3,"rewa district",594588,37408250
"shajapur district",2022,3,"shajapur district",283357,31597403
"ujjain district",2022,3,"ujjain district",758373,50239625
"bhind district",2022,3,"bhind district",364727,24809380
"tikamgarh district",2022,3,"tikamgarh district",185137,24758479
"seoni district",2022,3,"seoni district",301695,56156395
"harda district",2022,3,"harda district",147408,16442271
"burhanpur district",2022,3,"burhanpur district",170570,20701276
"damoh district",2022,3,"damoh district",223787,31771825
"bhopal district",2022,3,"bhopal district",1915532,32150298
"jhabua district",2022,3,"jhabua district",147923,31857270
"dhar district",2022,3,"dhar district",618777,73703546
"guna district",2022,3,"guna district",384769,50337317
"east nimar district",2022,3,"east nimar district",296196,48275500
"chhindwara district",2022,3,"chhindwara district",587412,75662167
"umaria district",2022,3,"umaria district",115138,20550481
"mandla district",2022,3,"mandla district",185530,34015763
"indore district",2022,3,"indore district",2537328,47700154
"shahdol district",2022,3,"shahdol district",244785,32734482
"ratlam district",2022,3,"ratlam district",461592,42135446
"panna district",2022,3,"panna district",149974,29701061
"chhatarpur district",2022,3,"chhatarpur district",381482,41965141
"morena district",2022,4,"morena district",456927,23288133
"alirajpur district",2022,4,"alirajpur district",71948,4870910
"sehore district",2022,4,"sehore district",502032,38231076
"rajgarh district",2022,4,"rajgarh district",432979,37459175
"khargone district",2022,4,"khargone district",438987,34936817
"satna district",2022,4,"satna district",569320,27973155
"narsinghpur district",2022,4,"narsinghpur district",328345,17210311
"jabalpur district",2022,4,"jabalpur district",980428,41846766
"hoshangabad district",2022,4,"hoshangabad district",427054,24906685
"vidisha district",2022,4,"vidisha district",428827,23185641
"balaghat district",2022,4,"balaghat district",432044,26396882
"singrauli district",2022,4,"singrauli district",345865,22272377
"betul district",2022,4,"betul district",438735,24111053
"sidhi district",2022,4,"sidhi district",216301,12604162
"datia district",2022,4,"datia district",166146,8629541
"dewas district",2022,4,"dewas district",553297,43996983
"sheopur district",2022,4,"sheopur district",117173,7019627
"neemuch district",2022,4,"neemuch district",280695,17621309
"raisen district",2022,4,"raisen district",422588,30548973
"mandsaur district",2022,4,"mandsaur district",442210,28091170
"barwani district",2022,4,"barwani district",213948,16755678
"katni district",2022,4,"katni district",302854,16500045
"dindori district",2022,4,"dindori district",103662,6035734
"shivpuri district",2022,4,"shivpuri district",351269,21500488
"gwalior district",2022,4,"gwalior district",1073648,45930098
"anuppur district",2022,4,"anuppur district",174706,9376305
"agar malwa district",2022,4,"agar malwa district",147143,12762713
"ashoknagar district",2022,4,"ashoknagar district",172336,9899893
"sagar district",2022,4,"sagar district",667526,33185928
"niwari district",2022,4,"niwari district",76105,4051188
"rewa district",2022,4,"rewa district",622122,30243159
"shajapur district",2022,4,"shajapur district",296780,22736814
"ujjain district",2022,4,"ujjain district",794711,52095488
"bhind district",2022,4,"bhind district",382471,17531261
"tikamgarh district",2022,4,"tikamgarh district",193659,10491591
"seoni district",2022,4,"seoni district",314556,20379082
"harda district",2022,4,"harda district",154023,10530285
"burhanpur district",2022,4,"burhanpur district",178750,11157932
"damoh district",2022,4,"damoh district",233462,12019861
"bhopal district",2022,4,"bhopal district",2009655,119312036
"jhabua district",2022,4,"jhabua district",154481,11635082
"dhar district",2022,4,"dhar district",648535,52813178
"guna district",2022,4,"guna district",403515,20527886
"east nimar district",2022,4,"east nimar district",309932,22866187
"chhindwara district",2022,4,"chhindwara district",613456,35491677
"umaria district",2022,4,"umaria district",120128,6482976
"mandla district",2022,4,"mandla district",193318,10767950
"indore district",2022,4,"indore district",2660518,179643787
"shahdol district",2022,4,"shahdol district",255641,14202505
"ratlam district",2022,4,"ratlam district",484038,28421055
"panna district",2022,4,"panna district",156023,9147623
"chhatarpur district",2022,4,"chhatarpur district",399052,18586587
"jalgaon district",2018,1,"jalgaon district",156359,0
"latur district",2018,1,"latur district",101698,0
"thane district",2018,1,"thane district",631864,0
"bhandara district",2018,1,"bhandara district",38732,0
"nandurbar district",2018,1,"nandurbar district",27766,0
"chandrapur district",2018,1,"chandrapur district",67034,0
"kolhapur district",2018,1,"kolhapur district",172528,0
"solapur district",2018,1,"solapur district",190033,0
"mumbai district",2018,1,"mumbai district",233538,0
"sindhudurg district",2018,1,"sindhudurg district",19427,0
"dhule district",2018,1,"dhule district",63040,0
"wardha district",2018,1,"wardha district",46502,0
"parbhani district",2018,1,"parbhani district",57487,0
"mumbai suburban district",2018,1,"mumbai suburban district",719300,0
"hingoli district",2018,1,"hingoli district",27545,0
"ratnagiri district",2018,1,"ratnagiri district",32596,0
"nanded district",2018,1,"nanded district",99716,0
"osmanabad district",2018,1,"osmanabad district",51994,0
"nagpur district",2018,1,"nagpur district",280007,0
"buldhana district",2018,1,"buldhana district",84962,0
"nashik district",2018,1,"nashik district",321402,0
"akola district",2018,1,"akola district",56295,0
"yavatmal district",2018,1,"yavatmal district",57137,0
"aurangabad district",2018,1,"aurangabad district",266324,0
"amravati district",2018,1,"amravati district",100458,0
"washim district",2018,1,"washim district",29299,0
"sangli district",2018,1,"sangli district",108867,0
"gadchiroli district",2018,1,"gadchiroli district",20462,0
"raigad district",2018,1,"raigad district",173015,0
"palghar district",2018,1,"palghar district",172502,0
"jalna district",2018,1,"jalna district",60373,0
"gondia district",2018,1,"gondia district",37761,0
"ahmednagar district",2018,1,"ahmednagar district",197473,0
"pune district",2018,1,"pune district",1211643,0
"beed district",2018,1,"beed district",75552,0
"satara district",2018,1,"satara district",116303,0
"jalgaon district",2018,2,"jalgaon district",210918,0
"latur district",2018,2,"latur district",135843,0
"thane district",2018,2,"thane district",861292,0
"bhandara district",2018,2,"bhandara district",54045,0
"nandurbar district",2018,2,"nandurbar district",38235,0
"chandrapur district",2018,2,"chandrapur district",93704,0
"kolhapur district",2018,2,"kolhapur district",231603,0
"solapur district",2018,2,"solapur district",259084,0
"mumbai district",2018,2,"mumbai district",319588,0
"sindhudurg district",2018,2,"sindhudurg district",26643,0
"dhule district",2018,2,"dhule district",86922,0
"wardha district",2018,2,"wardha district",63159,0
"parbhani district",2018,2,"parbhani district",75309,0
"mumbai suburban district",2018,2,"mumbai suburban district",957633,0
"hingoli district",2018,2,"hingoli district",37346,0
"ratnagiri district",2018,2,"ratnagiri district",45361,0
"nanded district",2018,2,"nanded district",132935,0
"osmanabad district",2018,2,"osmanabad district",71243,0
"nagpur district",2018,2,"nagpur district",380425,0
"buldhana district",2018,2,"buldhana district",114637,0
"nashik district",2018,2,"nashik district",436668,0
"akola district",2018,2,"akola district",76778,0
"yavatmal district",2018,2,"yavatmal district",78775,0
"aurangabad district",2018,2,"aurangabad district",347838,0
"amravati district",2018,2,"amravati district",136760,0
"washim district",2018,2,"washim district",39995,0
"sangli district",2018,2,"sangli district",148370,0
"gadchiroli district",2018,2,"gadchiroli district",29230,0
"raigad district",2018,2,"raigad district",238251,0
"palghar district",2018,2,"palghar district",239053,0
"jalna district",2018,2,"jalna district",80013,0
"gondia district",2018,2,"gondia district",52497,0
"ahmednagar district",2018,2,"ahmednagar district",268520,0
"pune district",2018,2,"pune district",1592293,0
"beed district",2018,2,"beed district",102259,0
"satara district",2018,2,"satara district",159146,0
"jalgaon district",2018,3,"jalgaon district",263135,0
"latur district",2018,3,"latur district",170128,0
"thane district",2018,3,"thane district",1104206,0
"bhandara district",2018,3,"bhandara district",68672,0
"nandurbar district",2018,3,"nandurbar district",49904,0
"chandrapur district",2018,3,"chandrapur district",119898,0
"kolhapur district",2018,3,"kolhapur district",292239,0
"solapur district",2018,3,"solapur district",331428,0
"mumbai district",2018,3,"mumbai district",410878,0
"sindhudurg district",2018,3,"sindhudurg district",35352,0
"dhule district",2018,3,"dhule district",110815,0
"wardha district",2018,3,"wardha district",80412,0
"parbhani district",2018,3,"parbhani district",94341,0
"mumbai suburban district",2018,3,"mumbai suburban district",1218632,0
"hingoli district",2018,3,"hingoli district",48279,0
"ratnagiri district",2018,3,"ratnagiri district",61998,0
"nanded district",2018,3,"nanded district",168414,0
"osmanabad district",2018,3,"osmanabad district",93240,0
"nagpur district",2018,3,"nagpur district",487280,0
"buldhana district",2018,3,"buldhana district",145183,0
"nashik district",2018,3,"nashik district",552556,0
"akola district",2018,3,"akola district",96221,0
"yavatmal district",2018,3,"yavatmal district",102034,0
"aurangabad district",2018,3,"aurangabad district",428394,0
"amravati district",2018,3,"amravati district",170913,0
"washim district",2018,3,"washim district",51549,0
"sangli district",2018,3,"sangli district",189937,0
"gadchiroli district",2018,3,"gadchiroli district",38429,0
"raigad district",2018,3,"raigad district",308594,0
"palghar district",2018,3,"palghar district",312322,0
"jalna district",2018,3,"jalna district",102291,0
"gondia district",2018,3,"gondia district",67233,0
"ahmednagar district",2018,3,"ahmednagar district",344804,0
"pune district",2018,3,"pune district",1974138,0
"beed district",2018,3,"beed district",132639,0
"satara district",2018,3,"satara district",208545,0
"jalgaon district",2018,4,"jalgaon district",325677,0
"latur district",2018,4,"latur district",212030,0
"thane district",2018,4,"thane district",1473811,0
"bhandara district",2018,4,"bhandara district",86513,0
"nandurbar district",2018,4,"nandurbar district",64012,0
"chandrapur district",2018,4,"chandrapur district",149712,0
"kolhapur district",2018,4,"kolhapur district",372286,0
"solapur district",2018,4,"solapur district",419060,0
"mumbai district",2018,4,"mumbai district",543353,0
"sindhudurg district",2018,4,"sindhudurg district",47259,0
"dhule district",2018,4,"dhule district",140033,0
"wardha district",2018,4,"wardha district",100626,0
"parbhani district",2018,4,"parbhani district",117401,0
"mumbai suburban district",2018,4,"mumbai suburban district",1578487,0
"hingoli district",2018,4,"hingoli district",60769,0
"ratnagiri district",2018,4,"ratnagiri district",82907,0
"nanded district",2018,4,"nanded district",212108,0
"osmanabad district",2018,4,"osmanabad district",119476,0
"nagpur district",2018,4,"nagpur district",627317,0
"buldhana district",2018,4,"buldhana district",183255,0
"nashik district",2018,4,"nashik district",698343,0
"akola district",2018,4,"akola district",121472,0
"yavatmal district",2018,4,"yavatmal district",129352,0
"aurangabad district",2018,4,"aurangabad district",534477,0
"amravati district",2018,4,"amravati district",213417,0
"washim district",2018,4,"washim district",65005,0
"sangli district",2018,4,"sangli district",241022,0
"gadchiroli district",2018,4,"gadchiroli district",48456,0
"raigad district",2018,4,"raigad district",405733,0
"palghar district",2018,4,"palghar district",414825,0
"jalna district",2018,4,"jalna district",129656,0
"gondia district",2018,4,"gondia district",83706,0
"ahmednagar district",2018,4,"ahmednagar district",439246,0
"pune district",2018,4,"pune district",2498852,0
"beed district",2018,4,"beed district",170917,0
"satara district",2018,4,"satara district",271031,0
"jalgaon district",2019,1,"jalgaon district",383547,0
"latur district",2019,1,"latur district",250662,0
"thane district",2019,1,"thane district",1834051,0
"bhandara district",2019,1,"bhandara district",103514,0
"nandurbar district",2019,1,"nandurbar district",77352,0
"chandrapur district",2019,1,"chandrapur district",178696,0
"kolhapur district",2019,1,"kolhapur district",454858,0
"solapur district",2019,1,"solapur district",505662,0
"mumbai district",2019,1,"mumbai district",670094,0
"sindhudurg district",2019,1,"sindhudurg district",58911,0
"dhule district",2019,1,"dhule district",166252,0
"wardha district",2019,1,"wardha district",120193,0
"parbhani district",2019,1,"parbhani district",138597,0
"mumbai suburban district",2019,1,"mumbai suburban district",1901210,0
"hingoli district",2019,1,"hingoli district",72615,0
"ratnagiri district",2019,1,"ratnagiri district",103057,0
"nanded district",2019,1,"nanded district",252342,0
"osmanabad district",2019,1,"osmanabad district",145109,0
"nagpur district",2019,1,"nagpur district",765612,0
"buldhana district",2019,1,"buldhana district",218739,0
"nashik district",2019,1,"nashik district",853648,0
"akola district",2019,1,"akola district",144784,0
"yavatmal district",2019,1,"yavatmal district",155775,0
"aurangabad district",2019,1,"aurangabad district",644687,0
"amravati district",2019,1,"amravati district",260174,0
"washim district",2019,1,"washim district",78091,0
"sangli district",2019,1,"sangli district",291314,0
"gadchiroli district",2019,1,"gadchiroli district",57518,0
"raigad district",2019,1,"raigad district",509108,0
"palghar district",2019,1,"palghar district",521918,0
"jalna district",2019,1,"jalna district",156361,0
"gondia district",2019,1,"gondia district",98644,0
"ahmednagar district",2019,1,"ahmednagar district",532651,0
"pune district",2019,1,"pune district",3038402,0
"beed district",2019,1,"beed district",207350,0
"satara district",2019,1,"satara district",332953,0
"jalgaon district",2019,2,"jalgaon district",433653,2134771
"latur district",2019,2,"latur district",284135,1523453
"thane district",2019,2,"thane district",2118406,11296340
"bhandara district",2019,2,"bhandara district",118943,625433
"nandurbar district",2019,2,"nandurbar district",89105,421478
"chandrapur district",2019,2,"chandrapur district",204382,908090
"kolhapur district",2019,2,"kolhapur district",526335,2248114
"solapur district",2019,2,"solapur district",581443,3248371
"mumbai district",2019,2,"mumbai district",785480,4012074
"sindhudurg district",2019,2,"sindhudurg district",70229,262505
"dhule district",2019,2,"dhule district",188514,926918
"wardha district",2019,2,"wardha district",137995,714597
"parbhani district",2019,2,"parbhani district",156183,760632
"mumbai suburban district",2019,2,"mumbai suburban district",2151657,11278764
"hingoli district",2019,2,"hingoli district",82935,410145
"ratnagiri district",2019,2,"ratnagiri district",122555,450997
"nanded district",2019,2,"nanded district",286168,1442512
"osmanabad district",2019,2,"osmanabad district",168641,975496
"nagpur district",2019,2,"nagpur district",887042,5659280
"buldhana district",2019,2,"buldhana district",248759,1304782
"nashik district",2019,2,"nashik district",995687,6368818
"akola district",2019,2,"akola district",165680,739009
"yavatmal district",2019,2,"yavatmal district",179544,820660
"aurangabad district",2019,2,"aurangabad district",736863,5216788
"amravati district",2019,2,"amravati district",308694,1874961
"washim district",2019,2,"washim district",89639,429527
"sangli district",2019,2,"sangli district",337602,1425757
"gadchiroli district",2019,2,"gadchiroli district",66341,347451
"raigad district",2019,2,"raigad district",594675,3007157
"palghar district",2019,2,"palghar district",608184,3056750
"jalna district",2019,2,"jalna district",180668,968650
"gondia district",2019,2,"gondia district",111756,560345
"ahmednagar district",2019,2,"ahmednagar district",614812,3200373
"pune district",2019,2,"pune district",3514081,28350305
"beed district",2019,2,"beed district",239775,1204613
"satara district",2019,2,"satara district",390414,1791789
"jalgaon district",2019,3,"jalgaon district",484320,7521590
"latur district",2019,3,"latur district",317568,5434923
"thane district",2019,3,"thane district",2396815,42873101
"bhandara district",2019,3,"bhandara district",133936,2083768
"nandurbar district",2019,3,"nandurbar district",100724,1474214
"chandrapur district",2019,3,"chandrapur district",230287,3166372
"kolhapur district",2019,3,"kolhapur district",596174,8193309
"solapur district",2019,3,"solapur district",656265,12732297
"mumbai district",2019,3,"mumbai district",889541,14809787
"sindhudurg district",2019,3,"sindhudurg district",80642,932423
"dhule district",2019,3,"dhule district",210268,3282875
"wardha district",2019,3,"wardha district",155318,2487741
"parbhani district",2019,3,"parbhani district",176060,2887387
"mumbai suburban district",2019,3,"mumbai suburban district",2407754,42728498
"hingoli district",2019,3,"hingoli district",92993,1485748
"ratnagiri district",2019,3,"ratnagiri district",141611,1636070
"nanded district",2019,3,"nanded district",320624,5340619
"osmanabad district",2019,3,"osmanabad district",190762,3523752
"nagpur district",2019,3,"nagpur district",1015333,22477622
"buldhana district",2019,3,"buldhana district",277803,4679657
"nashik district",2019,3,"nashik district",1155897,27497445
"akola district",2019,3,"akola district",188557,2665636
"yavatmal district",2019,3,"yavatmal district",204051,2886890
"aurangabad district",2019,3,"aurangabad district",841802,22471070
"amravati district",2019,3,"amravati district",356494,7545087
"washim district",2019,3,"washim district",101077,1522700
"sangli district",2019,3,"sangli district",381166,5136941
"gadchiroli district",2019,3,"gadchiroli district",74415,1177160
"raigad district",2019,3,"raigad district",679155,11541821
"palghar district",2019,3,"palghar district",691229,11702552
"jalna district",2019,3,"jalna district",208117,3908155
"gondia district",2019,3,"gondia district",124708,1913026
"ahmednagar district",2019,3,"ahmednagar district",705492,12684741
"pune district",2019,3,"pune district",4004991,126338358
"beed district",2019,3,"beed district",272488,4445026
"satara district",2019,3,"satara district",448644,6810052
"jalgaon district",2019,4,"jalgaon district",544543,10489465
"latur district",2019,4,"latur district",356834,7291996
"thane district",2019,4,"thane district",2638051,49544905
"bhandara district",2019,4,"bhandara district",149568,2623603
"nandurbar district",2019,4,"nandurbar district",114409,1959032
"chandrapur district",2019,4,"chandrapur district",259318,4145599
"kolhapur district",2019,4,"kolhapur district",667401,10745321
"solapur district",2019,4,"solapur district",736907,16277113
"mumbai district",2019,4,"mumbai district",973018,17093268
"sindhudurg district",2019,4,"sindhudurg district",91544,1136927
"dhule district",2019,4,"dhule district",236666,4572478
"wardha district",2019,4,"wardha district",173768,3114432
"parbhani district",2019,4,"parbhani district",199870,3855049
"mumbai suburban district",2019,4,"mumbai suburban district",2630360,47901433
"hingoli district",2019,4,"hingoli district",105533,1945712
"ratnagiri district",2019,4,"ratnagiri district",161019,1982045
"nanded district",2019,4,"nanded district",365279,7255734
"osmanabad district",2019,4,"osmanabad district",216991,4775401
"nagpur district",2019,4,"nagpur district",1134480,27203048
"buldhana district",2019,4,"buldhana district",314734,6456257
"nashik district",2019,4,"nashik district",1304611,35520766
"akola district",2019,4,"akola district",213840,3628010
"yavatmal district",2019,4,"yavatmal district",232610,3864845
"aurangabad district",2019,4,"aurangabad district",947081,28810624
"amravati district",2019,4,"amravati district",403858,9688198
"washim district",2019,4,"washim district",114788,2011846
"sangli district",2019,4,"sangli district",430878,7031892
"gadchiroli district",2019,4,"gadchiroli district",83722,1577267
"raigad district",2019,4,"raigad district",754910,14090489
"palghar district",2019,4,"palghar district",767925,13717318
"jalna district",2019,4,"jalna district",240006,5304410
"gondia district",2019,4,"gondia district",139401,2437637
"ahmednagar district",2019,4,"ahmednagar district",805271,17436148
"pune district",2019,4,"pune district",4416899,152980118
"beed district",2019,4,"beed district",310864,5886917
"satara district",2019,4,"satara district",508340,9298809
"jalgaon district",2020,1,"jalgaon district",605036,12727925
"latur district",2020,1,"latur district",398366,9141940
"thane district",2020,1,"thane district",2878073,53154761
"bhandara district",2020,1,"bhandara district",165915,3071689
"nandurbar district",2020,1,"nandurbar district",128739,2392415
"chandrapur district",2020,1,"chandrapur district",291058,5043795
"kolhapur district",2020,1,"kolhapur district",738677,12526668
"solapur district",2020,1,"solapur district",821512,19906885
"mumbai district",2020,1,"mumbai district",1054509,17783664
"sindhudurg district",2020,1,"sindhudurg district",102279,1353095
"dhule district",2020,1,"dhule district",263999,5557414
"wardha district",2020,1,"wardha district",193238,3587576
"parbhani district",2020,1,"parbhani district",225598,4936460
"mumbai suburban district",2020,1,"mumbai suburban district",2843378,50630793
"hingoli district",2020,1,"hingoli district",119554,2440502
"ratnagiri district",2020,1,"ratnagiri district",181890,2408762
"nanded district",2020,1,"nanded district",412138,9230338
"osmanabad district",2020,1,"osmanabad district",245431,6174822
"nagpur district",2020,1,"nagpur district",1251510,30161903
"buldhana district",2020,1,"buldhana district",353711,8032264
"nashik district",2020,1,"nashik district",1448324,41136042
"akola district",2020,1,"akola district",239492,4334880
"yavatmal district",2020,1,"yavatmal district",264447,4789053
"aurangabad district",2020,1,"aurangabad district",1046306,32972844
"amravati district",2020,1,"amravati district",452583,11261486
"washim district",2020,1,"washim district",129675,2509326
