State,Year,Quater,Reg_user,Device_brand,Device_count
chandigarh,2019,1,209175,Xiaomi,51075
chandigarh,2019,2,240439,Xiaomi,58356
chandigarh,2019,3,267337,Xiaomi,64422
chandigarh,2019,4,289590,Xiaomi,69435
chandigarh,2020,1,312887,Xiaomi,74599
chandigarh,2020,2,336351,Xiaomi,79401
chandigarh,2020,3,362588,Xiaomi,84467
chandigarh,2020,4,391402,Xiaomi,90201
chandigarh,2021,1,419998,Xiaomi,96137
chandigarh,2021,2,448572,Xiaomi,101761
chandigarh,2021,3,480463,Xiaomi,107815
chandigarh,2021,4,512092,Xiaomi,112958
chandigarh,2022,1,541549,Xiaomi,118077
chandigarh,2022,2,569582,Xiaomi,118077
chandigarh,2022,3,598698,Xiaomi,118077
chandigarh,2022,4,627563,Xiaomi,118077
chhattisgarh,2018,1,679263,Xiaomi,161753
chhattisgarh,2018,2,950675,Xiaomi,229221
chhattisgarh,2018,3,1217792,Xiaomi,298538
chhattisgarh,2018,4,1579998,Xiaomi,378100
chhattisgarh,2019,1,1908898,Xiaomi,454437
chhattisgarh,2019,2,2191066,Xiaomi,521922
chhattisgarh,2019,3,2435058,Xiaomi,582178
chhattisgarh,2019,4,2725900,Xiaomi,649776
chhattisgarh,2020,1,3016487,Xiaomi,711639
chhattisgarh,2020,2,3401658,Xiaomi,796390
chhattisgarh,2020,3,3799386,Xiaomi,879885
chhattisgarh,2020,4,4190601,Xiaomi,962085
chhattisgarh,2021,1,4514551,Vivo,1059097
chhattisgarh,2021,2,4837055,Vivo,1169224
chhattisgarh,2021,3,5206084,Vivo,1306833
chhattisgarh,2021,4,5565481,Vivo,1423389
chhattisgarh,2022,1,5916961,Vivo,1531319
chhattisgarh,2022,2,6238349,Vivo,1531319
chhattisgarh,2022,3,6562237,Vivo,1531319
chhattisgarh,2022,4,6846822,Vivo,1531319
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,53258,Xiaomi,12990
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,71458,Xiaomi,17620
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,92107,Xiaomi,22407
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,116511,Xiaomi,28477
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,140532,Xiaomi,34460
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,158580,Xiaomi,38996
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,176929,Xiaomi,43202
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,197598,Xiaomi,48012
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,218496,Xiaomi,52683
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,244814,Xiaomi,58073
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,267946,Vivo,63527
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,296493,Vivo,71995
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,321396,Vivo,79699
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,344994,Vivo,87001
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,371874,Vivo,95723
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,398963,Vivo,104203
